epoch,train_loss,train_acc,val_balanced_acc
1,0.8837635150322547,60.33653846153846,0.6507749326145553
2,0.5417303397105291,59.13461538461539,0.6932277628032345
3,0.4367506985480969,66.82692307692308,0.7013140161725068
4,0.40605156926008373,68.02884615384616,0.7329851752021563
5,0.38901670391743,73.3173076923077,0.778133423180593
6,0.3811961870927077,74.75961538461539,0.7375336927223719
7,0.37081482318731457,75.24038461538461,0.7222035040431267
8,0.3619889960839198,76.6826923076923,0.7707210242587601
9,0.35638880041929394,79.8076923076923,0.7528638814016173
10,0.34894288503206694,81.73076923076923,0.7617924528301887
11,0.34163161424490124,84.85576923076923,0.7747641509433962
12,0.33616326863949114,85.33653846153847,0.8168800539083558
13,0.33357302042154163,85.57692307692308,0.7931266846361187
14,0.3295062253108391,87.25961538461539,0.8158692722371967
15,0.3268773051408621,85.33653846153847,0.8283355795148248
16,0.32454890929735625,87.74038461538461,0.7370283018867925
17,0.3203873405089745,88.22115384615384,0.7806603773584906
18,0.319951410476978,88.46153846153847,0.7607816711590296
19,0.3138735615290128,90.38461538461539,0.801044474393531
20,0.3154611954322228,89.1826923076923,0.7911051212938005
