n_samples,percent_of_full_train,random_test,uncertainty_test,entropy_test,margin_test,novelty_test,diversity_test,random_cv_mean,random_cv_std,uncertainty_cv_mean,uncertainty_cv_std,entropy_cv_mean,entropy_cv_std,margin_cv_mean,margin_cv_std,novelty_cv_mean,novelty_cv_std,diversity_cv_mean,diversity_cv_std
27,4.954128440366972,0.5706186123021331,0.5706186123021331,0.5706186123021331,0.5706186123021331,0.5706186123021331,0.5706186123021331,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
29,5.321100917431193,0.5327913059892673,0.5352048108297602,0.5462610899873257,0.50177304964539,0.5245665129574199,0.5255036000323599,0.5333333333333333,0.06666666666666667,0.5,0.0,0.6,0.2,0.5333333333333333,0.06666666666666667,0.5,0.0,0.5833333333333333,0.10540925533894598
31,5.6880733944954125,0.5855041393630505,0.5,0.50177304964539,0.5784051991478575,0.6077650136181,0.50177304964539,0.5,0.0,0.5,0.0,0.5,0.0,0.5333333333333333,0.06666666666666665,0.525,0.049999999999999996,0.5,0.0
33,6.055045871559633,0.6088908664347545,0.5635533802551034,0.5717646900196856,0.5778389019227139,0.5853895315912953,0.6260415823962462,0.5,0.0,0.5,0.0,0.4916666666666666,0.016666666666666673,0.525,0.07264831572567788,0.5166666666666666,0.0816496580927726,0.5166666666666666,0.13333333333333336
35,6.422018348623853,0.6256101178437559,0.5505218024431681,0.6022705822074805,0.49952808564571366,0.5994323544481299,0.5691489361702128,0.5,0.0,0.5666666666666667,0.13333333333333333,0.5,0.0,0.475,0.049999999999999996,0.5083333333333333,0.016666666666666653,0.5083333333333333,0.016666666666666653
37,6.7889908256880735,0.6000188765741714,0.7081546800420678,0.6372394358600977,0.6039829571501767,0.5911468867135885,0.5669916134077609,0.5,0.0,0.5,0.0,0.5,0.0,0.525,0.049999999999999996,0.5,0.0,0.5,0.0
39,7.155963302752293,0.4848717741283068,0.5809130868592077,0.5668095892996792,0.6079335544589165,0.5849648086724375,0.6087695170293665,0.5,0.0,0.5166666666666666,0.033333333333333305,0.55,0.09999999999999999,0.5,0.0,0.5,0.0,0.525,0.049999999999999996
41,7.522935779816514,0.5035460992907801,0.5577151255292182,0.5502656203651269,0.5555375778658684,0.5581263651808106,0.5058315130922525,0.505,0.0714142842854285,0.5016666666666667,0.09492687243932095,0.51,0.06442049363362562,0.495,0.10653637876331258,0.4866666666666667,0.02666666666666666,0.6183333333333333,0.14685593847940462
43,7.889908256880734,0.5176024054148801,0.5035460992907801,0.5138001240460588,0.5,0.5038022813688213,0.5070921985815603,0.5,0.0,0.45499999999999996,0.09539392014169455,0.5,0.0,0.5883333333333333,0.10105004260816079,0.5533333333333333,0.06863753427324665,0.5599999999999999,0.12000000000000002
45,8.256880733944953,0.5193754550602702,0.5763490008898956,0.6016503519132756,0.6246932556697139,0.565555645444004,0.6399967640158563,0.5,0.0,0.605,0.10173494974687904,0.5599999999999999,0.07999999999999999,0.5516666666666666,0.05783117190965825,0.4833333333333333,0.03333333333333335,0.52,0.039999999999999994
47,8.623853211009175,0.5,0.5,0.5172383571987165,0.5,0.6753835989536985,0.5105102068333198,0.5,0.0,0.4583333333333333,0.08333333333333334,0.54,0.05147815070493499,0.5599999999999999,0.12000000000000002,0.53,0.06000000000000001,0.5,0.0
49,8.990825688073395,0.5038022813688213,0.555665668904889,0.5158293557694901,0.5159574468085106,0.5154653075533263,0.5,0.52,0.039999999999999994,0.5,0.0,0.54,0.07999999999999999,0.5599999999999999,0.12000000000000002,0.5666666666666667,0.09718253158075502,0.525,0.033333333333333354
51,9.357798165137615,0.5920502656203651,0.5914098104252623,0.6361675161125044,0.5019011406844106,0.6101448102904297,0.5,0.5,0.0,0.5166666666666667,0.062360956446232345,0.5,0.0,0.5,0.0,0.5166666666666666,0.033333333333333305,0.4583333333333333,0.06454972243679029
53,9.724770642201834,0.5035460992907801,0.5468476121133673,0.50177304964539,0.5697287166626217,0.5172383571987165,0.5,0.55,0.09999999999999999,0.5,0.0,0.4976190476190476,0.04902681019517617,0.5142857142857142,0.02857142857142856,0.55,0.09999999999999999,0.5,0.0
55,10.091743119266056,0.6012863036971119,0.5,0.5,0.5669781301404957,0.5,0.6110549308308388,0.5,0.0,0.6033333333333333,0.114697670227235,0.5542857142857143,0.144399609298408,0.5166666666666667,0.03333333333333335,0.5142857142857142,0.02857142857142856,0.5,0.0
57,10.458715596330276,0.5817962408650864,0.5446228730145889,0.5088652482269503,0.5141843971631206,0.5619893212523259,0.6194145565353397,0.4928571428571429,0.01428571428571428,0.5142857142857142,0.02857142857142856,0.5285714285714286,0.03499271061118824,0.5,0.0,0.5,0.0,0.5142857142857142,0.02857142857142856
59,10.825688073394495,0.5299261116953861,0.5259013564166869,0.5319148936170213,0.5,0.6378933743224658,0.5057034220532319,0.52,0.039999999999999994,0.5142857142857142,0.02857142857142856,0.5,0.0,0.525,0.049999999999999996,0.5,0.0,0.5107142857142858,0.021428571428571443
61,11.192660550458715,0.670927379122509,0.6591092953644526,0.5,0.5161057627484292,0.5652792384650649,0.5,0.5,0.0,0.5,0.0,0.5657142857142856,0.08161632489763256,0.5,0.0,0.5375,0.049999999999999996,0.55,0.09999999999999999
63,11.559633027522937,0.5,0.5,0.5,0.5,0.5686365720141304,0.533216028908125,0.5,0.0,0.525,0.049999999999999996,0.4925,0.01499999999999999,0.5,0.0,0.5,0.0,0.5549999999999999,0.049117206760971255
65,11.926605504587156,0.5298856618935901,0.594605344767144,0.6988040341935657,0.549004934875819,0.5,0.5385756276460912,0.5,0.0,0.52,0.039999999999999994,0.5375,0.05,0.4925,0.01499999999999999,0.5,0.0,0.545,0.04227883631321942
67,12.293577981651376,0.5140563061241,0.5051910578971496,0.5,0.5652118221287382,0.5019011406844106,0.5095057034220533,0.5125,0.025,0.5,0.0,0.5283333333333333,0.04060309238359943,0.575,0.1,0.5,0.0,0.5,0.0
