Method,Samples,Percent,Test_Balanced_Accuracy,CV_Mean,CV_Std
Baseline (100%),545,100.0,0.7373781148429035,0.698177955774778,0.060018045588389766
AL_Random,67,12.293577981651376,0.5140563061241,0.5125,0.025
AL_Uncertainty,67,12.293577981651376,0.5051910578971496,0.5,0.0
AL_Entropy,67,12.293577981651376,0.5,0.5283333333333333,0.04060309238359943
AL_Margin,67,12.293577981651376,0.5652118221287382,0.575,0.1
AL_Novelty,67,12.293577981651376,0.5019011406844106,0.5,0.0
AL_Diversity,67,12.293577981651376,0.5095057034220533,0.5,0.0
