n_samples,percent_of_full_train,random_test,uncertainty_test,entropy_test,margin_test,novelty_test,diversity_test,random_cv_mean,random_cv_std,uncertainty_cv_mean,uncertainty_cv_std,entropy_cv_mean,entropy_cv_std,margin_cv_mean,margin_cv_std,novelty_cv_mean,novelty_cv_std,diversity_cv_mean,diversity_cv_std
156,4.984025559105431,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
171,5.463258785942492,0.5,0.506261739501963,0.5335870678049449,0.5,0.5268507098116036,0.5308602787653067,0.5,0.0,0.5473118279569892,0.14499791682612964,0.5,0.0,0.5333333333333333,0.06666666666666665,0.5,0.0,0.5408602150537634,0.0817204301075269
186,5.942492012779553,0.5539281482018912,0.5425745886639741,0.508019137907406,0.5677142534684434,0.5013966480446927,0.5013966480446927,0.5637254901960784,0.07818589034265444,0.5,0.0,0.55,0.06123724356957945,0.510909090909091,0.021818181818181823,0.5,0.0,0.5,0.0
201,6.421725239616613,0.6588017041927656,0.6593317452256,0.6647994308608833,0.5912768950478448,0.580284085870678,0.5,0.5222972972972972,0.05161737636428183,0.545952380952381,0.039866557458954455,0.6486507936507936,0.09504994642525945,0.6371428571428572,0.10325320571195802,0.5222222222222223,0.05166965343816188,0.5166666666666666,0.056519416526043906
216,6.900958466453674,0.5,0.5013966480446927,0.5013966480446927,0.5157651938378195,0.5043239659161447,0.5043239659161447,0.5,0.0,0.5296761133603239,0.054069367790814477,0.5173684210526316,0.03473684210526318,0.5,0.0,0.49736842105263157,0.005263157894736836,0.49743589743589745,0.0051282051282051325
231,7.380191693290735,0.6186334615105564,0.5874013478762082,0.619343877723766,0.6177668544986981,0.5094157859520988,0.5,0.525,0.049999999999999996,0.5,0.0,0.5375609756097561,0.04616397332417942,0.6526829268292683,0.11519542003660102,0.5775609756097562,0.07433864664019019,0.537560975609756,0.08135672873908051
246,7.859424920127796,0.6357842188847775,0.5966831120462406,0.5,0.631599313163559,0.5013966480446927,0.5719041976025216,0.5354545454545455,0.07671725483932965,0.6073089700996677,0.11097215833138009,0.5411111111111111,0.0822222222222222,0.5648484848484849,0.09376033766083422,0.5377272727272728,0.05101450126035707,0.5263636363636364,0.05667436343775182
261,8.338658146964857,0.6696090997766975,0.5,0.5,0.6013678283231356,0.6369954533362354,0.6109639894556096,0.52,0.039999999999999994,0.52,0.039999999999999994,0.6431677018633539,0.11989508421086915,0.5844444444444445,0.10518145905912314,0.5289855072463768,0.06901199101918332,0.577639751552795,0.07135201586552962
276,8.817891373801917,0.5,0.5,0.601728578683886,0.6306974372616831,0.5027932960893855,0.5,0.5,0.0,0.52,0.039999999999999994,0.624,0.1376533488312015,0.5938350340136054,0.09899978900697426,0.5153333333333333,0.030666666666666665,0.55,0.06666666666666667
291,9.297124600638977,0.5,0.5379311873725282,0.6033056019089539,0.6432672696639177,0.5244181640829686,0.5958275895426733,0.5620125786163521,0.08109998877963034,0.5510062893081761,0.06843460934136959,0.5675070028011204,0.06436728559649266,0.5541370394311571,0.06674374658695444,0.5916451195862961,0.050034469946694124,0.5147435897435898,0.029487179487179473
306,9.776357827476039,0.6082170467645328,0.5,0.6119484953283836,0.5,0.5,0.6271826404507969,0.5166666666666667,0.03333333333333335,0.7556341719077568,0.14039138255904912,0.6159703504043127,0.10443013507643008,0.5594264069264069,0.06131745057135042,0.6010582010582011,0.11280083281056943,0.55,0.09999999999999999
321,10.255591054313099,0.6200653784452667,0.5,0.601094746346143,0.6929490435077027,0.5794285633671109,0.5,0.5833333333333333,0.10540925533894598,0.512531328320802,0.02964394245627557,0.6270989974937343,0.11450651679512759,0.6,0.0857142857142857,0.5716165413533835,0.059088767676796244,0.5132183908045976,0.030927871372583234
336,10.73482428115016,0.5,0.639618451070965,0.639618451070965,0.5666269639733327,0.5851491773279482,0.6099280917716672,0.6179937548790008,0.0732450547345931,0.55,0.04677071733467427,0.5699152542372882,0.06535939688579981,0.5712177985948477,0.09191156299595266,0.6054761904761905,0.1330984325368416,0.5345238095238095,0.03227925205729967
351,11.21405750798722,0.5,0.6718864623892558,0.6279041411722976,0.641195474296033,0.5823458044128434,0.6039757108192862,0.5421130952380953,0.056789114653108465,0.5841269841269842,0.1030646544809392,0.5296903460837887,0.07683076519124565,0.6035783536047946,0.1304411978682581,0.5,0.0,0.5092997951868921,0.02277621175657598
366,11.69329073482428,0.6292544358186816,0.5,0.6469160882568703,0.6875277112707281,0.5609527034108039,0.5013966480446927,0.5136363636363637,0.03501278790391317,0.5734615384615385,0.09927548187631803,0.561829594017094,0.060401379681238904,0.5578846153846154,0.08791722169076142,0.6020299145299146,0.07695595213922357,0.5657692307692308,0.08972673834462336
381,12.172523961661343,0.6006926809999436,0.5,0.5,0.6064596483590897,0.5362664957637024,0.5013966480446927,0.5784679089026914,0.06477519415892517,0.5414337474120082,0.054638898159024035,0.5384742951907131,0.0560854411112815,0.5128364389233954,0.02943018848750999,0.5957930933567457,0.04990489552171042,0.5654411764705882,0.07031195934048187
396,12.651757188498403,0.5109928091771667,0.6039807492321458,0.5,0.5,0.508019137907406,0.6958249695679863,0.528968253968254,0.0726266367792593,0.6110133020344288,0.0354483627749811,0.540079365079365,0.05584039790145565,0.5942097026604068,0.16570737911866867,0.6233350100603621,0.10534454095052359,0.5763296445338699,0.07371582198408526
411,13.130990415335463,0.6605218183430475,0.649889759526631,0.6702882778301773,0.5,0.6551156013446516,0.6780393721734503,0.5486666666666666,0.07384405490250684,0.5413036323995228,0.046607318235148625,0.5458523592085236,0.0565390624066142,0.5472222222222222,0.07209390310003705,0.5741856925418569,0.0799428846106526,0.6168178452425026,0.12948875672660043
426,13.610223642172524,0.6544515385297508,0.508019137907406,0.7441927253379768,0.6377119156448765,0.5,0.5,0.5375,0.075,0.5422222222222223,0.05183068350973601,0.5746666666666667,0.15268849916669486,0.5659356725146198,0.08362956479168521,0.52,0.039999999999999994,0.5,0.0
441,14.089456869009584,0.5,0.5931683152353543,0.5,0.5,0.5221659935347086,0.6500237813086975,0.5,0.0,0.5146272855133615,0.039439879861235094,0.5260478199718707,0.038786488714161835,0.5830769230769232,0.07345784659806234,0.550492264416315,0.08390437967176613,0.5695196364816619,0.06940406441822725
456,14.568690095846645,0.6306460454505147,0.6428601659048586,0.6980821785291059,0.6172257289575726,0.6661084105218184,0.5838865510653221,0.5713855421686747,0.09844191911236384,0.5627530446991217,0.05447604786349584,0.532128514056225,0.0642570281124498,0.5618033108041924,0.07579264912319339,0.5337940379403794,0.05667577064141557,0.5387654320987655,0.08065272508545385
