Method,Samples,Percent,Test_Balanced_Accuracy,CV_Mean,CV_Std
Baseline (100%),2116,100.0,0.7277410071942446,0.5941514507606386,0.0796736901541622
AL_Random,205,9.688090737240076,0.5670503597122303,0.6407222601959444,0.104679827281473
AL_Uncertainty,205,9.688090737240076,0.5891510791366907,0.6266666666666667,0.09026479062349756
AL_Entropy,205,9.688090737240076,0.5,0.6064285714285715,0.08041347232032856
AL_Margin,205,9.688090737240076,0.537726618705036,0.5930952380952381,0.08573875312160815
AL_Novelty,205,9.688090737240076,0.6207194244604317,0.5155502392344498,0.022846576815910655
AL_Diversity,205,9.688090737240076,0.6356978417266187,0.5339805376418648,0.12702348513521705
