n_samples,percent_of_full_train,random_test,uncertainty_test,entropy_test,margin_test,novelty_test,diversity_test,random_cv_mean,random_cv_std,uncertainty_cv_mean,uncertainty_cv_std,entropy_cv_mean,entropy_cv_std,margin_cv_mean,margin_cv_std,novelty_cv_mean,novelty_cv_std,diversity_cv_mean,diversity_cv_std
105,4.96219281663516,0.5736258992805755,0.5736258992805755,0.5736258992805755,0.5736258992805755,0.5736258992805755,0.5736258992805755,0.6154545454545455,0.08394212882537312,0.6154545454545455,0.08394212882537312,0.6154545454545455,0.08394212882537312,0.6154545454545455,0.08394212882537312,0.6154545454545455,0.08394212882537312,0.6154545454545455,0.08394212882537312
115,5.434782608695652,0.5662877697841726,0.6121151079136691,0.5956115107913669,0.5,0.5170935251798561,0.5,0.621969696969697,0.0952077135719561,0.5318181818181819,0.06650289802228712,0.5535664335664336,0.117514491569706,0.5813053613053614,0.034259894369392065,0.6206643356643357,0.1121777380059191,0.6142657342657343,0.1398879508091238
125,5.9073724007561434,0.5238848920863309,0.5490791366906476,0.5252086330935252,0.5050215827338129,0.5,0.6090071942446043,0.5884615384615384,0.04331550232442601,0.5850982350982352,0.15654518537657705,0.48461538461538456,0.10771138414679851,0.5858974358974359,0.0369021486272417,0.6217365967365968,0.12181210556207368,0.5621794871794872,0.0607657144930978
135,6.3799621928166355,0.6384460431654676,0.6115971223021582,0.6231942446043166,0.5904460431654677,0.5889496402877699,0.5307625899280576,0.6211721611721612,0.09882853123900409,0.6142857142857143,0.08436526469305158,0.5899084249084249,0.07836586068135153,0.6104212454212454,0.0864025698165198,0.6077289377289377,0.09123507572485685,0.5857142857142857,0.06730264614409916
145,6.852551984877127,0.5972230215827339,0.5754100719424461,0.667136690647482,0.577251798561151,0.6493237410071943,0.6605035971223021,0.6960989010989012,0.07937196457407567,0.6360576923076924,0.04953556489381253,0.5841346153846153,0.07788922361268377,0.5538095238095238,0.07225866863390006,0.6353663003663004,0.07957032822310028,0.6186263736263736,0.07167149362073007
155,7.325141776937619,0.6060431654676259,0.5919856115107913,0.5849208633093526,0.5997410071942446,0.5376546762589928,0.6099856115107913,0.5878151260504202,0.07840835996927313,0.5658333333333333,0.011829224638815283,0.6025490196078431,0.047902858771198015,0.6275000000000001,0.07143616031114773,0.6109243697478991,0.06270788462283265,0.5978991596638654,0.06566730896284592
165,7.79773156899811,0.4836115107913669,0.6116690647482015,0.5455395683453237,0.5,0.5,0.5204604316546763,0.5545279866332498,0.053175850714571454,0.5866666666666667,0.05989703098641582,0.5931746031746032,0.06582346577789991,0.4844611528822055,0.09424532394895717,0.6094068504594821,0.07657814614209749,0.5777527151211361,0.043438946622784594
175,8.2703213610586,0.5141438848920863,0.5494388489208633,0.6123021582733813,0.6215539568345323,0.5757697841726619,0.605021582733813,0.5914473684210526,0.10302724003080763,0.5871491228070176,0.0572521489245506,0.6349114207086343,0.053435862564664635,0.6516666666666666,0.07522685502422617,0.5937061403508772,0.02748583115220317,0.6300657894736842,0.07797137943553606
185,8.742911153119092,0.6021007194244604,0.5545755395683454,0.5751798561151079,0.6333956834532375,0.5870935251798561,0.6004748201438849,0.6461179910560716,0.07100856873976794,0.5632352941176471,0.07156191212115554,0.5608438375350141,0.08841877376316805,0.6144117647058824,0.08203404643857636,0.5785574229691877,0.09935367716974147,0.6126470588235294,0.08756905332562426
195,9.215500945179585,0.6271223021582735,0.6287338129496403,0.6433093525179856,0.5722158273381295,0.5675395683453237,0.6198273381294964,0.5439473684210526,0.05527318204825569,0.6261904761904763,0.06961543574472503,0.6208855472013367,0.10654710187166035,0.6200041771094402,0.013005277129883993,0.6295306001188354,0.07206309136584095,0.5644486215538846,0.06836544540798768
205,9.688090737240076,0.5939712230215828,0.6407769784172661,0.5841007194244604,0.5,0.5172230215827338,0.6154244604316547,0.5568762816131236,0.0884548459569958,0.5379984051036683,0.09056775815938524,0.5842857142857143,0.05673165541056936,0.5526190476190476,0.05534574895543145,0.5399498746867167,0.04462796081501876,0.5675974025974024,0.05601642047839727
